artist,song,album,album_type,release_date,artist_type,duration_ms,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,pop,dance,metal,rock,hip_hop,edm,r&b,country,emo,latin,k-pop,year
Jonas Brothers,This Is Me,キャンプ・ロック (サウンドトラック スペシャルエディション),compilation,2008-08-06,artist,189173,False,6,0.453,0.829,1,-2.545,1,0.0358,0.00977,0.0,0.117,0.563,90.775,4,1,1,0,0,0,0,0,0,0,0,0,2008
The Academy Is...,About a Girl,Fast Times At Barrington High,album,2008-08-15,artist,210333,False,1,0.292,0.933,9,-4.371,1,0.064,0.000221,9.86e-06,0.473,0.296,202.012,4,1,0,0,1,0,0,0,0,1,0,0,2008
The Script,Breakeven,The Script,album,2008-09-08,artist,261426,False,5,0.627,0.699,10,-4.504,1,0.0244,0.174,0.0,0.0789,0.535,94.003,4,1,1,0,1,0,0,0,0,0,0,0,2008
McFly,Lies,Lies,single,2008-09-14,artist,226640,False,1,0.504,0.882,2,-2.846,0,0.0334,0.0316,0.0,0.257,0.442,95.04,4,1,1,0,0,0,0,0,0,0,0,0,2008
McFly,One For The Radio,radio:ACTIVE,album,2008-09-21,artist,185493,False,2,0.264,0.97,4,-3.31,1,0.103,0.000534,0.0,0.332,0.561,134.849,4,1,1,0,0,0,0,0,0,0,0,0,2008
McFly,POV,radio:ACTIVE,album,2008-09-21,artist,233786,False,6,0.479,0.873,7,-4.85,1,0.0367,0.0334,0.0,0.337,0.173,140.067,4,1,1,0,0,0,0,0,0,0,0,0,2008
Kings of Leon,Use Somebody,Only By The Night,album,2008-09-23,artist,230760,False,4,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,4,0,0,0,1,0,0,0,0,0,0,0,2008
Hey Monday,Homecoming,Hold On Tight,album,2008-10-07,artist,238733,False,3,0.393,0.958,2,-2.102,1,0.0871,0.00966,0.0,0.214,0.323,150.074,4,1,0,0,1,0,0,0,0,1,0,0,2008
Switchfoot,Meant to Live,The Best Yet,compilation,2008-10-31,artist,199813,False,2,0.395,0.904,2,-3.949,1,0.0468,0.00424,0.0,0.42,0.516,151.498,4,1,0,0,1,0,0,0,0,0,0,0,2008
Christina Aguilera,Lady Marmalade,Keeps Gettin' Better: A Decade Of Hits,album,2008-11-07,artist,265973,False,6,0.741,0.859,5,-2.223,1,0.057,0.0148,1.84e-06,0.664,0.611,109.905,4,1,1,0,0,1,0,0,0,0,0,0,2008
Taylor Swift,You Belong With Me,Fearless,album,2008-11-11,artist,231133,False,6,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964,4,1,0,0,0,0,0,0,0,0,0,0,2008
Taylor Swift,Love Story,Fearless,album,2008-11-11,artist,235266,False,3,0.618,0.741,2,-3.95,1,0.031,0.17,0.0,0.0822,0.296,118.984,4,1,0,0,0,0,0,0,0,0,0,0,2008
Christina Aguilera,Hurt,Keeps Gettin' Better: A Decade of Hits,compilation,2008-11-12,artist,243626,False,10,0.381,0.282,4,-7.131,0,0.03,0.795,0.0,0.102,0.107,74.072,4,1,1,0,0,1,0,0,0,0,0,0,2008
Beyoncé,Sweet Dreams,I AM...SASHA FIERCE,album,2008-11-14,artist,208066,False,4,0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0618,0.788,121.949,4,1,1,0,0,0,0,1,0,0,0,0,2008
Beyoncé,If I Were a Boy,I AM...SASHA FIERCE,album,2008-11-14,artist,249146,False,1,0.632,0.518,6,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,4,1,1,0,0,0,0,1,0,0,0,0,2008
Beyoncé,Halo,I AM...SASHA FIERCE,album,2008-11-17,artist,261640,False,2,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,4,1,1,0,0,0,0,1,0,0,0,0,2008
Katy Perry,Waking Up in Vegas - Radio Edit,Waking Up In Vegas,single,2009-01-01,artist,204893,False,1,0.498,0.937,5,-2.225,1,0.0642,0.000696,0.0,0.0999,0.56,131.03,4,1,1,0,0,0,0,0,0,0,0,0,2009
Black Eyed Peas,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),album,2009-01-01,artist,289133,False,5,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,4,1,1,0,0,1,0,0,0,0,0,0,2009
Lady Gaga,Bad Romance,The Fame Monster,album,2009-01-01,artist,294573,True,1,0.697,0.921,0,-3.75,1,0.0391,0.00305,3.65e-05,0.0831,0.721,118.99,4,1,1,0,0,0,0,0,0,0,0,0,2009
OneRepublic,Good Life,Waking Up,album,2009-01-01,artist,253306,True,6,0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988,4,1,1,0,1,0,0,0,0,0,0,0,2009
Edward Maya,Stereo Love - Radio Edit,Stereo Love,single,2009-01-01,artist,185120,False,1,0.775,0.726,9,-5.629,1,0.0369,0.0399,0.0235,0.11,0.206,126.999,4,1,0,0,0,0,1,0,0,0,0,0,2009
Katy Perry,Thinking Of You,Thinking Of You,single,2009-01-01,artist,246410,False,1,0.431,0.803,4,-4.459,1,0.0364,0.00167,0.0,0.331,0.309,147.048,4,1,1,0,0,0,0,0,0,0,0,0,2009
Lady Gaga,Telephone,The Fame Monster,album,2009-01-01,artist,220626,False,6,0.827,0.821,3,-5.864,1,0.0419,0.00748,0.0015,0.115,0.684,122.017,4,1,1,0,0,0,0,0,0,0,0,0,2009
Lady Gaga,Alejandro,The Fame Monster (Deluxe),album,2009-01-01,artist,274213,False,2,0.632,0.789,11,-6.61,0,0.0557,0.00043,0.00144,0.356,0.35,98.986,4,1,1,0,0,0,0,0,0,0,0,0,2009
Colbie Caillat,Fallin' For You,Breakthrough (Deluxe Edition),album,2009-01-01,artist,215546,False,4,0.644,0.834,4,-6.473,1,0.0275,0.156,0.0,0.112,0.593,117.043,4,1,1,0,1,0,0,0,0,0,0,0,2009
La Roux,Bulletproof,La Roux,album,2009-01-01,artist,205733,False,4,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,4,1,1,0,0,0,1,0,0,0,0,0,2009
OneRepublic,All The Right Moves,Waking Up,album,2009-01-01,artist,238000,False,2,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,4,1,1,0,1,0,0,0,0,0,0,0,2009
Lady Gaga,Paparazzi,The Fame Monster (Deluxe),album,2009-01-01,artist,208320,False,11,0.758,0.688,5,-3.918,0,0.0478,0.12,0.0,0.0904,0.357,114.93,4,1,1,0,0,0,0,0,0,0,0,0,2009
Demi Lovato,Catch Me,Here We Go Again (European Version),album,2009-01-01,artist,190000,False,6,0.287,0.294,4,-11.988,1,0.0488,0.489,0.0,0.254,0.494,189.857,4,1,1,0,0,0,0,0,0,0,0,0,2009
Miley Cyrus,Party In The U.S.A.,The Time Of Our Lives,album,2009-01-01,artist,202066,False,2,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4,1,1,0,0,0,0,0,0,0,0,0,2009
Demi Lovato,Every Time You Lie,Here We Go Again (European Version),album,2009-01-01,artist,228586,False,7,0.518,0.652,3,-5.837,1,0.0558,0.463,0.0,0.366,0.547,172.083,4,1,1,0,0,0,0,0,0,0,0,0,2009
Demi Lovato,World Of Chances,Here We Go Again (European Version),album,2009-01-01,artist,170706,False,10,0.412,0.498,10,-8.864,1,0.0316,0.0691,0.0,0.252,0.232,174.13,4,1,1,0,0,0,0,0,0,0,0,0,2009
OneRepublic,Secrets,Waking Up,album,2009-01-01,artist,224693,False,3,0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021,4,1,1,0,1,0,0,0,0,0,0,0,2009
Demi Lovato,Don't Forget,Here We Go Again (European Version),album,2009-01-01,artist,223066,False,15,0.642,0.45,4,-7.696,1,0.0918,0.508,1.86e-06,0.629,0.608,179.999,4,1,1,0,0,0,0,0,0,0,0,0,2009
Demi Lovato,Gift of a Friend,Here We Go Again (European Version),album,2009-01-01,artist,205546,False,13,0.378,0.568,6,-6.198,1,0.028,0.194,0.0,0.206,0.387,153.005,3,1,1,0,0,0,0,0,0,0,0,0,2009
Selena Gomez & The Scene,Naturally,Kiss & Tell,album,2009-01-01,artist,202586,False,6,0.605,0.902,10,-5.406,0,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,4,1,1,0,0,1,1,0,0,0,0,0,2009
Demi Lovato,Everything You're Not,Here We Go Again (European Version),album,2009-01-01,artist,223173,False,12,0.427,0.856,5,-6.201,0,0.168,0.0037,1.22e-06,0.0913,0.498,191.953,4,1,1,0,0,0,0,0,0,0,0,0,2009
Timbaland,Carry Out (Featuring Justin Timberlake),Shock Value II,album,2009-01-01,artist,232466,False,2,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,5,1,1,0,0,1,0,0,0,0,0,0,2009
Demi Lovato,Here We Go Again,Here We Go Again,single,2009-01-01,artist,225250,False,1,0.576,0.943,5,-4.144,1,0.0422,0.0032,0.0,0.178,0.641,142.043,4,1,1,0,0,0,0,0,0,0,0,0,2009
Owl City,Fireflies,Ocean Eyes,album,2009-01-01,artist,228346,False,9,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,4,1,0,0,1,0,0,0,0,0,0,0,2009
Jay Sean,Down,All Or Nothing,album,2009-01-01,artist,212106,False,3,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,4,1,1,0,0,1,0,0,0,0,0,0,2009
Paramore,Decode - Acoustic Version,Decode,single,2009-01-16,artist,267466,False,2,0.467,0.421,10,-8.843,0,0.031,0.191,0.0,0.116,0.335,74.96,4,1,0,0,1,0,0,0,0,1,0,0,2009
Kelly Clarkson,My Life Would Suck Without You,My Life Would Suck Without You,single,2009-01-20,artist,211653,False,1,0.529,0.878,9,-3.957,1,0.0534,0.00347,0.0,0.101,0.397,144.973,4,1,1,0,1,0,0,0,0,0,0,0,2009
The Fray,Never Say Never,The Fray,album,2009-02-02,artist,256613,False,5,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,4,1,0,0,1,0,0,0,0,0,0,0,2009
Kelly Clarkson,Already Gone,All I Ever Wanted,album,2009-03-09,artist,281560,False,6,0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,4,1,1,0,1,0,0,0,0,0,0,0,2009
The Pussycat Dolls,I Hate This Part,NOW 30,compilation,2009-03-24,artist,217560,False,9,0.751,0.611,5,-4.206,1,0.0329,0.09,0.0,0.125,0.5,111.571,4,1,1,0,0,1,0,0,0,0,0,0,2009
Ashley Tisdale,"It's Alright, It's OK",Guilty Pleasure,album,2009-06-12,artist,179200,False,2,0.528,0.923,1,-1.884,0,0.058,0.00536,1.46e-05,0.134,0.267,130.067,4,1,1,0,0,0,0,0,0,0,0,0,2009
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),Hot Mess,album,2009-07-07,artist,196413,False,3,0.594,0.874,0,-3.716,1,0.0815,0.0116,0.0,0.549,0.628,119.964,4,1,1,0,1,0,0,0,0,0,0,0,2009
Jordin Sparks,Battlefield,Battlefield,album,2009-07-20,artist,241920,False,2,0.613,0.634,2,-3.472,1,0.0339,0.0178,0.0,0.0719,0.37,144.953,4,1,1,0,0,1,0,1,0,0,0,0,2009
Beyoncé,Sweet Dreams,Ego/Sweet Dreams Singles & Dance Mixes,single,2009-07-21,artist,209213,False,4,0.693,0.819,1,-6.001,1,0.101,0.103,1.64e-05,0.0637,0.755,121.968,4,1,1,0,0,0,0,1,0,0,0,0,2009
Train,"Hey, Soul Sister","Hey, Soul Sister",single,2009-08-06,artist,216666,False,1,0.675,0.885,1,-4.432,0,0.0436,0.217,0.0,0.086,0.768,97.03,4,1,1,0,1,0,0,0,0,0,0,0,2009
Iyaz,Replay,Replay,single,2009-08-11,artist,182306,False,1,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,4,1,1,0,0,1,0,0,0,0,0,0,2009
Boys Like Girls,Two Is Better Than One (feat. Taylor Swift),Love Drunk,album,2009-09-07,artist,242840,False,4,0.521,0.702,0,-5.189,1,0.0331,0.189,0.0,0.0962,0.25,127.976,4,1,0,0,1,0,0,0,0,0,0,0,2009
Boys Like Girls,Love Drunk,Love Drunk,album,2009-09-07,artist,226706,False,2,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,4,1,0,0,1,0,0,0,0,0,0,0,2009
Uncle Kracker,Smile,Happy Hour,album,2009-09-11,artist,201626,False,1,0.541,0.812,4,-3.764,1,0.0336,0.203,0.0,0.42,0.607,141.056,4,1,0,0,1,0,0,0,1,0,0,0,2009
Paramore,Ignorance,Brand New Eyes,album,2009-09-22,artist,218626,False,2,0.522,0.964,11,-2.645,0,0.095,0.00109,0.000389,0.0387,0.51,170.944,4,1,0,0,1,0,0,0,0,1,0,0,2009
All Time Low,Damned If I Do Ya (Damned If I Don't),Damned If I Do Ya (Damned If I Don't),single,2009-09-22,artist,187000,False,1,0.554,0.902,4,-4.018,1,0.0569,0.00635,0.0,0.328,0.657,126.022,4,1,0,0,1,0,0,0,0,0,0,0,2009
Kris Allen,Live Like We're Dying,Live Like We're Dying,single,2009-09-25,artist,212746,False,1,0.578,0.9,0,-2.501,1,0.0443,0.0267,0.0,0.287,0.934,92.011,4,1,0,0,0,0,0,0,0,0,0,0,2009
Paramore,The Only Exception,Brand New Eyes,album,2009-09-28,artist,267653,False,6,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,3,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,The Silence,Anywhere But Here,album,2009-10-05,artist,215866,False,3,0.353,0.978,11,-3.045,0,0.329,0.000927,0.0,0.314,0.369,165.017,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Anywhere but Here,Anywhere But Here,album,2009-10-05,artist,190640,False,2,0.414,0.946,4,-3.419,1,0.0856,0.00135,0.0,0.278,0.42,165.015,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,"If You Can't Live Without Me, Why Aren't You Dead Yet?",Anywhere But Here,album,2009-10-05,artist,218133,False,6,0.397,0.974,1,-3.149,1,0.325,0.000137,0.0,0.255,0.357,164.759,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Kids in Love,Anywhere But Here,album,2009-10-05,artist,216600,False,1,0.512,0.963,3,-2.726,1,0.0583,0.000917,0.0,0.308,0.72,135.027,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Save Your Heart,Anywhere But Here,album,2009-10-05,artist,222053,False,7,0.282,0.868,3,-2.682,1,0.0451,0.0299,0.0,0.124,0.514,173.826,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,The End,Anywhere But Here,album,2009-10-05,artist,217773,False,11,0.375,0.971,6,-2.997,1,0.0899,0.000688,0.0,0.207,0.487,155.0,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,I Swear This Time I Mean It,Anywhere But Here,album,2009-10-05,artist,241106,False,10,0.423,0.548,7,-6.742,1,0.0278,0.426,0.0,0.0781,0.398,141.062,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Bruised and Scarred,Anywhere But Here,album,2009-10-05,artist,203293,False,5,0.512,0.953,2,-3.474,1,0.0889,0.00185,0.0,0.102,0.452,123.07,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Still Breathing,Anywhere But Here,album,2009-10-05,artist,232013,False,4,0.518,0.967,1,-3.685,1,0.0851,0.00326,0.0,0.0912,0.389,142.996,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Get Up,Anywhere But Here,album,2009-10-05,artist,181520,False,8,0.46,0.953,2,-2.591,1,0.0981,9.87e-05,0.0,0.343,0.771,151.162,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Center of Attention,Anywhere But Here,album,2009-10-05,artist,179173,False,9,0.462,0.982,1,-3.326,1,0.126,0.000729,0.0,0.337,0.612,160.912,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Jamie All Over - EP Version,Valdosta EP,single,2009-10-06,artist,243417,False,2,0.571,0.442,1,-4.985,1,0.0283,0.647,0.0,0.0948,0.68,135.069,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Kids in Love - EP Version,Valdosta EP,single,2009-10-06,artist,228908,False,3,0.59,0.538,3,-5.515,1,0.0268,0.651,0.0,0.268,0.555,118.007,4,1,0,0,1,0,0,0,0,1,0,0,2009
Mayday Parade,Bruised and Scarred - EP Version,Valdosta EP,single,2009-10-06,artist,202482,False,5,0.601,0.434,1,-5.373,1,0.0284,0.665,0.0,0.137,0.526,118.033,4,1,0,0,1,0,0,0,0,1,0,0,2009
Michael Bublé,Haven't Met You Yet,Crazy Love,album,2009-10-06,artist,244586,False,5,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58,4,1,0,0,0,0,0,0,0,0,0,0,2009
Rihanna,Rude Boy,Rated R,album,2009-11-20,artist,222986,False,8,0.561,0.747,3,-4.471,0,0.171,0.118,0.0,0.0682,0.774,173.917,4,1,1,0,0,0,0,0,0,0,0,0,2009
Rihanna,Hard,Rated R,album,2009-11-20,artist,250600,True,3,0.31,0.746,1,-3.599,1,0.111,0.0121,0.0,0.649,0.163,182.032,4,1,1,0,0,0,0,0,0,0,0,0,2009
Adam Lambert,Whataya Want from Me,For Your Entertainment,album,2009-11-23,artist,227320,False,3,0.44,0.683,11,-4.732,0,0.0489,0.00706,0.0,0.0593,0.445,185.948,4,1,1,0,0,0,1,0,0,0,0,0,2009
Alicia Keys,Un-thinkable (I'm Ready),The Element Of Freedom,album,2009-12-15,artist,249240,False,7,0.596,0.505,7,-7.892,1,0.0619,0.732,1.97e-05,0.106,0.335,86.097,4,1,0,0,0,0,0,1,0,0,0,0,2009
Alicia Keys,Try Sleeping with a Broken Heart,The Element Of Freedom,album,2009-12-15,artist,249013,False,4,0.496,0.821,5,-5.155,1,0.112,0.158,0.246,0.13,0.549,110.977,5,1,0,0,0,0,0,1,0,0,0,0,2009
Mike Posner,Cooler Than Me (feat. Big Sean),Cooler Than Me EP,single,2009-12-15,artist,227840,False,2,0.837,0.515,7,-4.065,0,0.0793,0.103,0.0,0.233,0.769,129.001,4,1,1,0,0,1,0,0,0,0,0,0,2009
Far East Movement,Rocketeer,Free Wired,album,2010-01-01,artist,211253,False,3,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005,4,1,1,0,0,1,1,0,0,0,0,0,2010
The Band Perry,If I Die Young,The Band Perry,album,2010-01-01,artist,222773,False,3,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,4,0,0,0,1,0,0,0,1,0,0,0,2010
Nicki Minaj,Super Bass,Pink Friday,album,2010-01-01,artist,200013,True,14,0.721,0.867,11,-4.302,1,0.196,0.29,2.87e-06,0.503,0.639,127.033,4,1,1,0,0,1,0,0,0,0,0,0,2010
Enrique Iglesias,Tonight (I'm Lovin' You),Tonight (I'm Lovin' You),single,2010-01-01,artist,231653,False,1,0.659,0.882,5,-4.623,0,0.0465,0.0258,9.2e-06,0.144,0.314,125.985,4,1,1,0,0,0,0,0,0,0,1,0,2010
Taio Cruz,Dynamite,Rokstarr,album,2010-01-01,artist,203866,False,1,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,4,1,1,0,0,1,0,0,0,0,0,0,2010
Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,Hands All Over,album,2010-01-01,artist,201160,False,13,0.722,0.758,11,-4.477,0,0.0471,0.0111,0.0,0.308,0.62,128.047,4,1,0,0,1,0,0,0,0,0,0,0,2010
Shontelle,Impossible,No Gravity,album,2010-01-01,artist,226533,False,2,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034,4,1,1,0,0,0,0,0,0,0,0,0,2010
Gwen Stefani,Hollaback Girl,Let's Get It Started,compilation,2010-01-01,artist,200080,True,3,0.925,0.885,10,-4.023,0,0.0904,0.364,4.77e-06,0.0234,0.911,110.017,4,1,1,0,0,0,0,0,0,0,0,0,2010
Maroon 5,Misery,Hands All Over (Deluxe),album,2010-01-01,artist,216200,False,1,0.704,0.81,4,-4.874,0,0.0425,0.000315,0.0,0.216,0.726,102.98,4,1,0,0,1,0,0,0,0,0,0,0,2010
Enrique Iglesias,I Like It,Euphoria (Standard US/Latin version),album,2010-01-01,artist,231786,False,5,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,4,1,1,0,0,0,0,0,0,0,1,0,2010
Plain White T's,"1, 2, 3, 4",Wonders Of The Younger (International Version),album,2010-01-01,artist,198373,False,15,0.458,0.548,2,-7.1,1,0.0263,0.599,1.25e-05,0.106,0.55,90.599,4,1,0,0,1,0,0,0,0,0,0,0,2010
Nicki Minaj,Your Love,Pink Friday,album,2010-01-01,artist,245253,True,12,0.488,0.529,11,-10.176,1,0.255,0.00249,0.00226,0.413,0.196,126.186,5,1,1,0,0,1,0,0,0,0,0,0,2010
Orianthi,According To You,Believe (II),album,2010-01-01,artist,200346,False,1,0.619,0.917,5,-2.582,1,0.0507,0.0233,1.21e-05,0.0986,0.552,131.002,4,1,0,0,0,0,0,0,0,0,0,0,2010
Lady A,Need You Now,Need You Now,album,2010-01-01,artist,236440,False,1,0.581,0.717,4,-4.433,1,0.0318,0.0298,0.000186,0.243,0.316,107.884,4,1,0,0,0,0,0,0,1,0,0,0,2010
Kesha,Blah Blah Blah (feat. 3OH!3),Animal,album,2010-01-01,artist,172053,False,6,0.752,0.832,10,-3.243,1,0.0971,0.0833,0.000265,0.424,0.534,120.003,4,1,1,0,0,0,1,0,0,0,0,0,2010
Neon Trees,Animal,Habits,album,2010-01-01,artist,212293,False,3,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,4,1,0,0,1,0,0,0,0,0,0,0,2010
Taio Cruz,Break Your Heart,Rokstarr,album,2010-01-01,artist,186266,False,2,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05,4,1,1,0,0,1,0,0,0,0,0,0,2010
Demi Lovato,Remember December,Remember December,single,2010-01-01,artist,191760,False,1,0.467,0.845,1,-6.131,1,0.0785,0.00122,0.0,0.112,0.651,179.949,4,1,1,0,0,0,0,0,0,0,0,0,2010
Far East Movement,Like A G6,Free Wired,album,2010-01-01,artist,216893,False,2,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,4,1,1,0,0,1,1,0,0,0,0,0,2010
Keri Hilson,Pretty Girl Rock,No Boys Allowed,album,2010-01-01,artist,243920,False,2,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014,4,1,1,0,0,0,0,1,0,0,0,0,2010
Kesha,Your Love Is My Drug,Animal,album,2010-01-01,artist,187066,False,1,0.829,0.607,1,-3.876,1,0.0897,0.0049,0.0,0.0986,0.766,120.044,4,1,1,0,0,0,1,0,0,0,0,0,2010
Justin Bieber,Baby,My World 2.0,album,2010-01-01,artist,214240,False,1,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,4,1,0,0,0,0,0,0,0,0,0,0,2010
Nelly,Dilemma,Songs About Love (UMGI Version),compilation,2010-01-01,artist,289200,True,12,0.734,0.423,2,-12.9,0,0.231,0.192,9.09e-06,0.235,0.586,168.146,4,1,1,0,0,1,0,0,0,0,0,0,2010
Papa Roach,Scars - Acoustic Version,To Be Loved: The Best Of Papa Roach (Explicit Version),compilation,2010-01-01,artist,190973,False,14,0.574,0.402,11,-9.167,1,0.0328,0.308,0.0,0.207,0.529,86.193,4,0,0,1,1,1,0,0,0,0,0,0,2010
Maroon 5,She Will Be Loved,Songs About Love (UMGI Version),compilation,2010-01-01,artist,256440,False,16,0.697,0.592,0,-9.667,0,0.03,0.058,0.0,0.136,0.579,102.046,4,1,0,0,1,0,0,0,0,0,0,0,2010
Green Day,21 Guns,21 Guns EP,single,2010-01-26,artist,322040,False,2,0.26,0.719,5,-4.765,1,0.0364,0.048,0.0,0.454,0.419,159.072,4,1,0,0,1,0,0,0,0,0,0,0,2010
Jason Derulo,In My Head,Jason Derulo (Deluxe Audio),album,2010-03-01,artist,198960,False,3,0.762,0.739,0,-4.178,0,0.0328,0.0269,0.0,0.498,0.852,110.002,4,1,1,0,0,1,0,0,0,0,0,0,2010
Jason Derulo,Ridin' Solo,Jason Derulo (Deluxe Audio),album,2010-03-01,artist,215746,False,2,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,4,1,1,0,0,1,0,0,0,0,0,0,2010
Jason Derulo,Whatcha Say,Jason Derulo (Deluxe Audio),album,2010-03-01,artist,221253,False,1,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,4,1,1,0,0,1,0,0,0,0,0,0,2010
Travie McCoy,Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars),single,2010-03-09,artist,211160,True,1,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,4,1,1,0,0,0,0,0,0,0,0,0,2010
Usher,OMG,Raymond v Raymond,album,2010-03-30,artist,269493,False,6,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,4,1,1,0,0,1,0,1,0,0,0,0,2010
B.o.B,Airplanes (feat. Hayley Williams of Paramore),B.o.B Presents: The Adventures of Bobby Ray,album,2010-04-27,artist,180480,True,4,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,4,1,1,0,0,1,0,0,0,0,0,0,2010
B.o.B,Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray,album,2010-04-27,artist,268320,False,2,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,4,1,1,0,0,1,0,0,0,0,0,0,2010
B.o.B,Magic (feat. Rivers Cuomo),B.o.B Presents: The Adventures of Bobby Ray,album,2010-04-27,artist,196133,False,8,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,4,1,1,0,0,1,0,0,0,0,0,0,2010
Eminem,Love The Way You Lie,Recovery,album,2010-06-18,artist,263373,True,15,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,4,0,0,0,0,1,0,0,0,0,0,0,2010
3OH!3,My First Kiss (feat. Ke$ha),Streets Of Gold,album,2010-06-25,artist,192440,False,3,0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021,4,1,1,0,1,1,1,0,0,0,0,0,2010
Usher,DJ Got Us Fallin' In Love,DJ Got Us Fallin' In Love,single,2010-07-13,artist,222160,False,1,0.666,0.878,7,-2.85,0,0.0973,0.03,0.0,0.0828,0.669,119.932,4,1,1,0,0,1,0,1,0,0,0,0,2010
Mike Posner,Please Don't Go,31 Minutes to Takeoff,album,2010-08-09,artist,196813,False,2,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,4,1,1,0,0,1,0,0,0,0,0,0,2010
Katy Perry,Last Friday Night (T.G.I.F.),Teenage Dream,album,2010-08-24,artist,230733,False,2,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,4,1,1,0,0,0,0,0,0,0,0,0,2010
